message, target,new_label
carry weak,0,neutral
you are trash,2,neutral
what a moron,2,banter
fukll of fucking noobs,2,banter
trash offlane pa,2,banter
basically playing ck with ck spells,0,neutral
this axe  not even once single time bot,0,banter
u son of whore,2,toxic
no senc this game,0,neutral
your morons were worse than our morons,2,banter
help a brotha wet his willy,2,banter
fucking clutch,1,banter
thanks to wr,0,neutral
french plese,0,neutral
we dont even have a carry and you still suck shit,2,banter
this idiot dont know to paly,2,banter
wp wp attempt to survive,0,neutral
how useful the dumb support is,1,banter
sucker oracle,2,neutral
we ve all been there haha,0,neutral
 nyx reported,0,banter
damn ember you are pretty heavy to be allchatting,1,neutral
whoops sad that outlooud,0,neutral
of course,0,neutral
i report necro if u scrim rightr now,0,banter
please aim io,0,neutral
can throne,0,neutral
cock and ball torture,1,banter
but is it gay if the balls don t touch,2,banter
fck u pl ahhaha,2,banter
he cum he came   sec,0,banter
   sorry wraith,0,neutral
thank fuck,1,banter
smegma in your cock,2,toxic
stack reports on dusa ,0,neutral
these guys were ass,2,banter
see bara you were shit as omni before and now as bara,1,banter
you die like the bitch you are,2,toxic
highlight,0,neutral
i nvr talk to u before tho,0,neutral
bad draft with a shit tide player,2,banter
he s a greedy bastard   ,1,banter
we didnt say anythign about tips what,0,neutral
this shit lookin like a      nadcl lobby,1,banter
bbc for you this game,0,banter
pink u had him in ur team and  nd picked him,0,neutral
asshole,2,banter
can u teach me how to be commedy man too  ,0,neutral
we ll give you rampage,0,neutral
ty free duel,0,neutral
fukion ez ching chongs,2,toxic
look at my wk score,0,neutral
hard to lose vs  ,0,neutral
certainly didnt take losing very well,0,banter
this ss is ass,2,banter
 noob techies,2,neutral
absolute dog shit toxic,2,banter
despite both mid and offlane super feeding,0,neutral
shes so ugly,2,toxic
dont pick me with bob,0,neutral
the good old mom card when you suck so hard you have to use it,0,toxic
q too long otherwise,0,neutral
and cool bm,0,neutral
fear my dick,1,banter
dog shit team again,2,banter
always astral his mum,2,banter
why so pussy ,1,banter
our noob pa will farm till next year,2,banter
fucking cancer,1,banter
lol big fucking brains on this puck,1,banter
his mmr maybe    ,0,neutral
hate this am,1,neutral
ty for that,0,neutral
please,0,neutral
need mana fucker,1,banter
stop this shit ,1,banter
ks this nob g,1,banter
u know who is dick,1,banter
second game useless team,2,banter
its ok pretty free game,0,neutral
play genshin,0,neutral
wtf is your move speed,1,neutral
sort of ,0,neutral
report that noob,2,banter
undying did the mouse eat ur tongue   ,0,banter
my suport is noob as fk,2,banter
us east moment,0,banter
you pick me you arldy win this game,0,neutral
we have idiot,2,neutral
benched for a reason,0,banter
leave him alone,0,neutral
dont tal to me,0,banter
every fucking game,1,banter
gg can throne,0,neutral
can you actually have mercy,0,neutral
ursa reported for being  a dog,2,toxic
we wanna be toxic to win,0,banter
tough bot,0,neutral
i smashed u near the bed,0,banter
 ls time to play mid,0,neutral
im sorry i smacked you ,0,banter
he got banned,0,neutral
shoudnt,0,neutral
mother good ,0,toxic
crash,0,neutral
now i m gonna ask you who do you think is the acc buyer  ,0,neutral
no need for salt  qop is whiny enough as it is,0,neutral
not this game mate,0,neutral
clown meepo,2,banter
where swm,0,neutral
talk alot of truths,0,banter
buy more hearts rofl,0,banter
probably tastes good,0,neutral
hes talking mad shit too,1,banter
what,0,neutral
he s cmming back fasat,0,neutral
fucking trio,1,banter
u r the loser we have win this so ez,2,banter
hey they added a button to lifesteal aura,0,neutral
you just got raped under tower,2,banter
in her asshole,2,toxic
that  ,0,neutral
thx go,0,neutral
well not really  ytou were shit,1,banter
when the tiger hungry he eats ,0,neutral
future and  or k can mid,0,neutral
is he an asset or liability ,0,neutral
your welcome,0,neutral
cry please,0,banter
can yall cast shit on me,1,banter
its so ,0,neutral
okay but your sister put her bed next to mine,0,toxic
you were given a free game,0,neutral
rosh all towers,0,neutral
your state is fucking useless,2,banter
f dog spec have ulti and aga,2,neutral
report who,0,banter
useless snap   brain,2,banter
u think im dumb,1,neutral
my team is trash,2,banter
was it worth,0,neutral
thanks,0,neutral
fuck this game,1,banter
why you ban ember,0,neutral
timber last pick,0,neutral
a mid hero took the tome wtf,1,neutral
oy pick fast,0,neutral
he is best shittalker au,1,banter
he had good reason its not ranked,0,neutral
he nt coming back he bitching about the lane,1,banter
surewin,0,neutral
you should give fuck about russia losing in ukraine ,1,banter
too many apes,2,banter
whats,0,neutral
youre lucky our drow has downsyndrome,2,banter
hurry up and fight bro,0,neutral
good game  clothes,0,neutral
i want your ass,1,banter
shitmy pants there,2,neutral
party with    ,0,neutral
this game,0,neutral
ez bear tho,0,neutral
stop it mother fuckers,1,banter
shame i have to listen to dog,2,neutral
a pro player,0,neutral
find me gay ,1,toxic
fair enough man,0,neutral
lol this guy is mentely damaged,0,banter
i was just tryna chill man wtf lol,1,banter
stop pausing the game,0,neutral
hes too dumb to even play wk,2,neutral
the only reality is that u are toxic stupid little kid whos mother is getting fucked daily,2,toxic
and reach smth,0,neutral
of my life,0,neutral
pablo hater,0,toxic
rubbik u landed more fk hooks than this pudge,0,neutral
the fk,1,banter
fuck you too,2,banter
ur big mouth to rank   ,0,banter
ez the fk ,1,neutral
nice throw ,0,banter
depression is for pussies,1,toxic
how tf is techies   kills,1,banter
wtf thats maggie ,1,neutral
but still noob,1,banter
if u pick lifestealer in turbo,0,neutral
u can own only invoker actor players,0,neutral
u boys are playing like its ti,0,banter
he lost too much ,0,neutral
he is your bitch es,2,banter
win ,0,neutral
yes sht counts,1,banter
puck good player,0,neutral
gay over,2,toxic
i pause with my peni  in yo mama,2,banter
third world huh  ,0,neutral
literally,0,neutral
why respect  ,0,neutral
puck are you done with your acrobatics ,0,neutral
break ur hand or brain,0,neutral
thats only illu bro,0,neutral
ez noobs in team,2,banter
did you open the shit out of it ,1,banter
should be the one playing on his real rank,0,neutral
to make yourself,0,neutral
party with uzbek or ruin,0,neutral
sell items ,0,neutral
its literally just a game,0,neutral
thank,0,neutral
ever been called morons ,1,neutral
your mom has nice jugs,2,banter
fatally bonded,0,neutral
its a team game,0,neutral
click on his sniper avatar,0,neutral
sorry my dick was in usb port,1,banter
u are idiot estern p iece of shit vodka,2,banter
and know everything ,0,neutral
any offlaner,0,neutral
who will take it,0,neutral
couldnt possible be shit skill,1,banter
cumshot,1,banter
puysh and end it,0,neutral
 then fucking afk xd,1,banter
ember son of a whore,0,toxic
for what,0,neutral
what the fking are you doing there,1,banter
nah prefer to avoid u so i can keep getting free mmr,0,neutral
some trash u and pudge,2,banter
jesus fucking christ,2,banter
classic dota pick husker and own rtarded sub humans,2,toxic
ching chong wanna be,2,toxic
me and fuck sippin,1,banter
wtf is up with you guys,1,banter
no tps team shit,2,banter
eater,0,neutral
master of beasts    ,0,neutral
good aiming supp first,0,neutral
rape ur own mom pa,2,toxic
sry its raining,0,neutral
go throne,0,neutral
sounds like he should abandon,0,neutral
ez win for you,0,neutral
give me ply timber ok ,0,neutral
really really ez,0,banter
what     ,0,neutral
who wanna be carry ,0,neutral
that ur a son of whore,2,toxic
wtf i thought offlane or jg huskar,1,neutral
like ur mum,2,banter
when this dick head is whining already,1,banter
lol what,0,neutral
by peru supports,0,neutral
how i know its not a trap  lol,0,neutral
boring,0,neutral
got a turtle neck happening,0,neutral
useless enemy team also cant end,2,banter
wanted to eat a horse,0,banter
like they re fucking trying to lose,1,banter
first streamsnipe ban snap,0,banter
i fuck your dad,2,banter
stop playing,0,banter
his parents were actual persian cousins that were already the product of some very fucking serious incest,2,toxic
what is bkb ,0,neutral
support with hitter item,0,neutral
disugsting gross filth race,2,toxic
cool throne,0,neutral
more noob dotn know  timing of rs,1,banter
what do u mean by that,0,neutral
i didn t see the clock boy,0,neutral
zzzz we have another depressive kiddo here,2,toxic
i hope his work goes under so he can play more dota,0,banter
afk is choice,0,neutral
he wont back bro,0,neutral
since my mid laner is retarded,2,toxic
the fucking difference is when i target cm we win the fight,1,banter
  win worth    losses where you get shitstomped like this and paused like    times,1,banter
ask your chingchong friend,2,toxic
they playin,0,neutral
im solo play when spirit br and shaman suck dick,2,banter
son of pigs,2,banter
im created by god,0,neutral
typical trash mid,2,banter
dont cry here too,0,banter
can u do something ,0,neutral
team idiots,2,banter
ind g poor country ,2,toxic
and   retarded arab,2,toxic
finally axe did it,0,neutral
i thought all of u,0,neutral
use battlefury jugg,0,neutral
don t think he said anything at all,0,neutral
straight guys thank you,0,neutral
no one ever gives up,0,neutral
report anti and magnus,0,banter
omg no this trash no way,1,banter
thats rough,0,neutral
btch,1,banter
but saberchad stronger,0,neutral
classic road to  k guy,0,neutral
when u re qop ,0,neutral
he leave,0,neutral
ur team canb win with out u,0,banter
i think u like a dog,2,toxic
what a fcking awful players,1,banter
you low rank you complain a newplayer sniper for,0,neutral
go fuck off,1,banter
i m cashing     s,0,neutral
my team does not seem to udnerstand the concept of outpick,0,neutral
doing  tho,0,neutral
but dog cant play,2,neutral
bkb really fucked yall up huh,1,banter
now fucking kill your team,1,banter
how many guys have fucked your mother when u were watching ,2,toxic
doesn t explain how you are dogshit outside of mid,2,banter
u fuckign clowns,2,banter
what hapenning,0,neutral
wtf is worng with u people  ,1,banter
id stick my cock so far up your ass,2,toxic
our venge is very mad  cause his mom still holding his winky while playing,2,toxic
when u supp a noob team,1,banter
noob will lose no matter how,1,banter
dickhead moron,2,banter
how come visage never gets banned,0,banter
china gonna rule the world,0,banter
its aight,0,neutral
thron,0,neutral
i first picked pudge bro,0,neutral
ta threw the game  gg,0,neutral
worst subhuman,0,banter
report beast for   digit,0,neutral
why so easy,0,banter
how did yall manage to lose this game,0,banter
with ur stupid gameplay,1,banter
the goofy ass cookie,0,banter
really now,0,neutral
or feed on mid,0,neutral
retarded qop,2,toxic
report these mtfckin as   holes support roles  ,2,banter
thx for wait,0,neutral
with your mom,2,banter
haha shit slark ,2,banter
i cant understand that shit,1,banter
nah    min que didnty expect game,0,neutral
if youre triying to tilt me low skilled animal,2,banter
that noob shit,2,banter
mother fucker,2,banter
fucking lane creep ruining my health,1,banter
team nb,0,neutral
report puck ffs,1,banter
strong  tinker is also in the game  energy,0,neutral
right,0,neutral
he told,0,neutral
we got more out of it,0,neutral
rank      k matches,0,neutral
if you re playin  me  keep it on the low cause my heart can t take it anymore,0,neutral
all the space still no impact,0,banter
finally,0,neutral
  hero   shot,0,neutral
dont play with flowers if you want to get your arse tickled,0,banter
eat my entire ass,2,banter
wtf is that walrus,1,neutral
when luck becomes a lifeestyle its called skill ,0,neutral
it cheap,0,neutral
dick for living,1,toxic
literally nothing,0,neutral
report void and qop,0,banter
go thorne,0,neutral
grow the fuck up mongol,1,toxic
fuck this night,1,banter
aight gg,0,neutral
wtf is that shockwave hook interaction lmfao,1,neutral
fuck this game,1,banter
throne it up ,0,neutral
for yourself,0,neutral
morning dotes,0,neutral
my brain is shrinking,0,neutral
otucarrying rank  ,0,neutral
throne,0,neutral
fair play i respect it,0,neutral
fucking idiopt,2,banter
so soft ah this pango,0,neutral
they fuckin sleeep,1,banter
u r really wasting that shitty laning pahse,1,banter
lost to shitwrath,1,banter
mid mode whitemon  ,0,neutral
any cores ,0,neutral
what teh fuck,1,banter
how long have you been a huge fa   ot,2,toxic
u can fisnih right now,0,neutral
i dont know what happen toi this sht team,2,banter
can we swap report for ursa ,0,neutral
what is sex ,1,neutral
rapier wont help feed yes,0,neutral
idiot team,2,neutral
let me see how good of a server u have ape ,2,toxic
idiot team,2,banter
how the fuck you lost,1,banter
suck my ass,2,toxic
sound,0,neutral
you were never gonna win with brad on your team anyway dude,0,banter
its dumb that he can feed all game but then suddenly hit a spike and this shit happens,1,banter
he went to masturbate,1,banter
tb is the carry nbot me clowns,2,neutral
then noob,1,neutral
what a timing,0,neutral
plz rep this mf acc buyer,1,banter
